iter	Logloss	Accuracy
0	0.6571025043	0.8978978979
1	0.6092022674	0.9069069069
2	0.5714345673	0.8968968969
3	0.5373149261	0.9369369369
4	0.4964949157	0.9339339339
5	0.4624775376	0.9479479479
6	0.428852696	0.9479479479
7	0.4005791533	0.9429429429
8	0.38291001	0.9409409409
9	0.3669387542	0.9409409409
10	0.3489922776	0.9409409409
11	0.3276948778	0.9399399399
12	0.3094414125	0.9399399399
13	0.2949619601	0.9399399399
14	0.2806441697	0.9399399399
15	0.2649849948	0.9399399399
16	0.2522214558	0.9399399399
17	0.2426492391	0.9399399399
18	0.2338308421	0.9399399399
19	0.2252301663	0.9399399399
20	0.2188988629	0.9399399399
21	0.2107175359	0.9399399399
22	0.2064430128	0.9399399399
23	0.1990605275	0.9399399399
24	0.1930626763	0.9399399399
25	0.1884470062	0.9399399399
26	0.1837547895	0.9399399399
27	0.1794712388	0.9399399399
28	0.1759434507	0.9399399399
29	0.1729355389	0.9399399399
30	0.1674823269	0.9499499499
31	0.1627651784	0.9499499499
32	0.1607017251	0.9499499499
33	0.1585378204	0.9499499499
34	0.1563479036	0.9499499499
35	0.1533343381	0.9499499499
36	0.1525233467	0.9499499499
37	0.1500529443	0.9499499499
38	0.1482304822	0.9499499499
39	0.1463360427	0.9499499499
40	0.1444656941	0.9499499499
41	0.1437904013	0.9499499499
42	0.1426576717	0.9499499499
43	0.1422272479	0.9499499499
44	0.1421964657	0.9499499499
45	0.1408232627	0.9499499499
46	0.1400807141	0.9499499499
47	0.1378498414	0.9499499499
48	0.137195547	0.9499499499
49	0.1371746773	0.9499499499
50	0.1365404977	0.9499499499
51	0.1356701685	0.9499499499
52	0.13526683	0.9499499499
53	0.1349690427	0.9499499499
54	0.1348648704	0.9499499499
55	0.1344209799	0.9499499499
56	0.1337676626	0.9499499499
57	0.1335725333	0.9499499499
58	0.1325338783	0.9499499499
59	0.1320988063	0.9499499499
60	0.1316668903	0.9499499499
61	0.131176446	0.9499499499
62	0.1310679823	0.9499499499
63	0.1294435634	0.9499499499
64	0.1290870896	0.9499499499
65	0.129075603	0.9499499499
66	0.1284165452	0.9499499499
67	0.127691496	0.9499499499
68	0.1275907099	0.9499499499
69	0.126883011	0.9499499499
70	0.1266386522	0.9499499499
71	0.1264764966	0.9499499499
72	0.1264527277	0.9499499499
73	0.1256353701	0.9499499499
74	0.1252224438	0.9499499499
75	0.1250739851	0.9499499499
76	0.1248854313	0.9499499499
77	0.1244601124	0.9499499499
78	0.1241757635	0.9499499499
79	0.124175762	0.9499499499
80	0.1230912777	0.9499499499
81	0.1228004888	0.951951952
82	0.1226934138	0.9499499499
83	0.1221191279	0.952952953
84	0.1221126126	0.952952953
85	0.1216300813	0.952952953
86	0.1211923395	0.952952953
